Date,Amount,Kind,Payee,Description,Account,Category,Notes,ImportId
2026-03-25,100.00,income,,,Conta principal,Teste123,,
2026-03-24,-821.43,expense,,Quod delectus.,Conta principal,Ad 990 expense,,
2026-02-23,-888.72,expense,,Eum repellat necessitatibus.,Conta principal,Repellat 933 expense,,
2026-01-22,-733.20,expense,,Magni nesciunt molestiae minus commodi.,Conta principal,Ad 990 expense,,
2026-01-20,707.83,income,,Voluptatum itaque ipsa.,Conta principal,Sunt 394 income,,
2026-01-19,109.39,income,,Veritatis tenetur ut alias.,Conta principal,At 667 income,,
2026-01-08,295.92,income,,Unde voluptas magni suscipit.,Conta principal,Sapiente 487 income,,
2026-01-01,601.47,income,,Ipsa itaque maxime enim numquam.,Conta principal,Sunt 394 income,,
2025-12-18,465.64,income,,Vitae quam.,Conta principal,Ipsum 517 income,,
2025-12-17,824.74,income,,Facilis hic eaque.,Conta principal,Doloribus 241 income,,
2025-12-13,213.68,income,,Blanditiis nam.,Conta principal,Doloribus 241 income,,
2025-11-09,-154.43,expense,,Ipsum necessitatibus.,Conta principal,Fugit 836 expense,,
2025-11-02,-904.04,expense,,Nulla temporibus exercitationem.,Conta principal,Fugit 836 expense,,
2025-09-30,398.11,income,,Culpa iusto laborum.,Conta principal,Sapiente 487 income,,
2025-09-25,-564.46,expense,,Quo et nobis accusamus cupiditate.,Conta principal,Fugit 836 expense,,
2025-09-10,397.42,income,,Ipsum quidem delectus.,Conta principal,Sapiente 487 income,,
2025-09-08,189.23,income,,Laboriosam repudiandae dicta.,Conta principal,Sapiente 487 income,,
2025-09-01,222.31,income,,Doloremque velit officiis.,Conta principal,At 667 income,,
2025-08-22,882.64,income,,Impedit amet dolor nobis.,Conta principal,At 667 income,,
2025-07-26,-801.61,expense,,Nulla hic fuga fuga adipisci.,Conta principal,Distinctio 645 expense,,
2025-07-20,-680.72,expense,,Rerum deleniti.,Conta principal,Nemo 533 expense,,
2025-07-13,-770.46,expense,,Porro veniam consectetur quia a.,Conta principal,Nemo 533 expense,,
2025-07-01,966.89,income,,Voluptatem quod quisquam quidem nobis.,Conta principal,Ipsum 517 income,,
2025-06-22,-209.48,expense,,Maxime vitae cumque aliquid dolore.,Conta principal,Fugit 836 expense,,
2025-06-20,133.49,income,,Eveniet vel laborum quam.,Conta principal,Sapiente 487 income,,
2025-06-16,-453.64,expense,,Dolorem exercitationem dicta eveniet.,Conta principal,Repellat 933 expense,,
2025-05-21,-655.35,expense,,Doloribus velit molestiae.,Conta principal,Distinctio 645 expense,,
2025-05-10,-926.73,expense,,Ipsum maxime consequatur.,Conta principal,Repellat 933 expense,,
2025-05-04,257.76,income,,Illum deserunt dolorem velit.,Conta principal,Sunt 394 income,,
2025-04-15,823.35,income,,Maiores error ad cupiditate.,Conta principal,Doloribus 241 income,,
2025-04-02,187.54,income,,Necessitatibus suscipit optio.,Conta principal,Doloribus 241 income,,
